label,smile_w,smile_h,brow_h,eye_h,brow_i,mouth_drop,brow_v_left,brow_v_right,lip_dist,jaw_dist
sad,0.4396681443388473,0.0019068908801815622,0.1301205625707944,0.05157762718060062,0.2044357994441737,0.27258863764586166,0.20077461065919386,0.1758725981435498,0.0019068908801815622,0.9865527128989442
neutral,0.4088427502652392,0.0034079504420883827,0.12718076282465,0.05002723476859199,0.1991777488937404,0.2534772405708086,0.1964367775430419,0.1804241295198892,0.0034079504420883827,0.979583858478747
angry,0.42458468360999874,0.11351556108463448,0.09878583610781609,0.04806135753090423,0.20762514353921677,0.2734517147521705,0.18814327596323566,0.14026056630534114,0.11351556108463448,0.9511977131321693
angry,0.44508828877797196,0.1159562683463561,0.10043175986651659,0.04547862406306847,0.2036260177419299,0.29477056295112225,0.19721432077760437,0.14553265384139993,0.1159562683463561,0.9826501499039287
angry,0.422916060902506,0.00618212292094196,0.10484123015392079,0.04340297098844504,0.2108786490068795,0.23935031212440627,0.1876256632792799,0.1547674438035442,0.00618212292094196,0.906712788501239
angry,0.40836081301995625,0.14420998475153332,0.10054932995683208,0.047127396964320035,0.19496078109277415,0.2713151746771025,0.17678655617011116,0.15750262157229394,0.14420998475153332,0.9935226587929323
sad,0.41852523323925633,0.0477715958013418,0.10915663820494585,0.01742291121946585,0.202805283179304,0.26127277589394443,0.19315232987683637,0.16212785204083288,0.0477715958013418,0.9502125545092864
happy,0.5229258977755386,0.11408495249384204,0.11881419611867025,0.04870782160704525,0.20219685062967205,0.29408957130035857,0.198326676705985,0.17757523132452657,0.11408495249384204,1.056562332414311
angry,0.43740029256480795,0.09063836131757365,0.1068781524673052,0.05999632792924811,0.2034093237696309,0.31417631276867164,0.2100132345826734,0.13829941195748824,0.09063836131757365,1.0147426236658352
angry,0.433370119147308,0.02685006635960888,0.09749788805222591,0.04699639228489731,0.20931297826209286,0.24727472963662053,0.18358002240067856,0.15594014107889526,0.02685006635960888,0.9299863230316804
angry,0.44171344952455527,0.10402600025207562,0.10625409551843916,0.05048454371310636,0.21515040981784841,0.278579893402511,0.192160711863669,0.14976859083930122,0.10402600025207562,0.9809187019634732
angry,0.4309866851551038,0.14221116819720142,0.1084397759239966,0.06342738833477415,0.20138602155032023,0.290634080809495,0.19156353170406623,0.1454247907003701,0.14221116819720142,0.9826447794858751
angry,0.4235327328106561,0.13175792221473562,0.11154201997009104,0.06021724610745866,0.2007188741114012,0.29426620966731615,0.19490334591414007,0.14833389460375263,0.13175792221473562,1.008299866529222
angry,0.4533606928189466,0.1463757496924953,0.09423421780873659,0.029702932149371877,0.19620077650926082,0.26173524583955754,0.17139346850774242,0.15036497100642013,0.1463757496924953,0.9754607816811655
surprise,0.3970124978420442,0.06695339904216435,0.11839155459469475,0.057866851537386306,0.2106950669983165,0.24561807635254396,0.18132173426231768,0.15975298734915094,0.06695339904216435,0.9605707393418889
happy,0.4579881923291791,0.008969811741049766,0.11552667968499859,0.039933951223433684,0.2217103708288731,0.23272803682172158,0.17140543946685347,0.17692823022743306,0.008969811741049766,0.8676407150396586
happy,0.39976361844852876,0.013756986089830505,0.11642551005427422,0.04201981581809482,0.2210510215578892,0.19703698436833955,0.15820223754943769,0.18455643127114513,0.013756986089830505,0.8847904105775319
angry,0.38909765760474774,0.004892121817765803,0.09941531333619723,0.0331094760778707,0.21897963866201767,0.2044349538442264,0.15931932994926615,0.17239479171393202,0.004892121817765803,0.8302422634949439
neutral,0.40314812267769173,0.017643692294040548,0.12296520590434354,0.03423538118519263,0.21836772023558448,0.19803137472452917,0.16333320550166192,0.2030630403741888,0.017643692294040548,0.960066851223593
sad,0.42285216900253664,0.014596675750980212,0.11292187719333677,0.016179052812373352,0.23250144680865956,0.22908268034160548,0.1921392273490405,0.19158294147921673,0.014596675750980212,0.892872002950971
sad,0.4131384775019744,0.005351296368171494,0.12230931596052903,0.031230566665906984,0.2421302390127784,0.22881372673728323,0.1878889652705394,0.18614517544933543,0.005351296368171494,0.9338871920875079
happy,0.4654385222044021,0.09047535191688687,0.1201165938837724,0.03503409402128598,0.23403119973766742,0.23859407917261585,0.17973477722953554,0.18256586386960472,0.09047535191688687,0.9228830817783479
happy,0.4595604277552285,0.14806138736241137,0.11844156224979147,0.03130095463557086,0.20758488428079744,0.23950538547121739,0.17335531291435552,0.1879401379886336,0.14806138736241137,0.9595184211232535
happy,0.4924567132300149,0.06430531329794478,0.11997748463438862,0.04092941777443206,0.21391600542288602,0.24337812062877673,0.17154308887346337,0.1848568477291355,0.06430531329794478,0.8983660757024293
surprise,0.31247301047109166,0.03418040779525739,0.12416140506985214,0.04477377356215777,0.2260144841103285,0.18264898085745862,0.17618735340829633,0.1852564834128616,0.03418040779525739,0.9179208728902131
happy,0.3918297229851978,0.0007668023025858964,0.11214236216650772,0.030311923088094606,0.1945727045188927,0.1830186946176214,0.1368103332433043,0.21451939428165565,0.0007668023025858964,0.8819617474150835
neutral,0.4252084720776416,0.016442752659251138,0.1229333993749691,0.03896902631440605,0.22318877065996806,0.2292992603977949,0.1832987166524291,0.17430185493283787,0.016442752659251138,0.8928090935797304
sad,0.4018941281193839,0.021635431793755683,0.11133510926447861,0.010500268314616252,0.20790190481570836,0.22445123369004097,0.17649311328356695,0.18430630031051112,0.021635431793755683,0.9034639526129941
sad,0.3979026726244821,0.021337140054725385,0.1026158238484179,0.00904931451407491,0.2097268916496218,0.22032187944990064,0.1796450996470846,0.18122774724966392,0.021337140054725385,0.8761914861215492
angry,0.3699338138187028,0.047261231247297954,0.10414384855425594,0.03627969200268578,0.19955042869031023,0.21510564088073345,0.17106321942341185,0.1655810083897484,0.047261231247297954,0.9054755246117884
